"profit","discount"
41.9136,0.0
219.58199999999997,0.0
6.8713999999999995,0.0
-383.03100000000006,0.45
2.516399999999999,0.2
14.169399999999996,0.0
1.9656000000000002,0.0
90.71520000000004,0.2
5.7825,0.2
34.46999999999999,0.0
85.3091999999998,0.2
68.35680000000002,0.2
5.4432,0.2
132.59219999999993,0.2
-123.858,0.8
-3.8160000000000016,0.8
13.317599999999999,0.0
9.989999999999995,0.0
2.4823999999999993,0.0
16.01099999999998,0.2
7.383999999999999,0.2
5.0596,0.0
15.688400000000001,0.0
-1.0196000000000005,0.3
240.2649,0.0
4.2224,0.2
11.774100000000004,0.0
-1665.0522,0.5
-7.0532,0.7
15.524999999999991,0.2
1.1015999999999997,0.2
9.709199999999989,0.2
-5.715,0.7
3.5460000000000007,0.2
9.946799999999998,0.2
123.4736999999999,0.2
-147.96300000000002,0.6
35.415,0.2
-46.97640000000001,0.32
-15.146999999999991,0.3
41.75639999999996,0.2
16.556399999999996,0.2
3.8939999999999912,0.0
9.56160000000001,0.2
19.7714,0.0
8.206199999999999,0.0
8.478399999999993,0.0
4.950000000000001,0.0
6.104000000000001,0.0
17.9634,0.0
35.334599999999995,0.0
2.9568,0.0
17.098099999999988,0.0
6.256600000000001,0.0
298.6855,0.0
52.139999999999986,0.0
15.552000000000001,0.0
7.098000000000006,0.1
6.9888,0.0
3.3000000000000007,0.0
16.362,0.2
0.84,0.0
6.151200000000001,0.0
9.3612,0.2
68.9631,0.0
22.332800000000006,0.0
-15.22250000000001,0.3
111.30239999999998,0.2
62.988,0.2
35.663599999999995,0.0
1.7309999999999999,0.2
8.763,0.0
-114.39120000000003,0.2
1.2129999999999974,0.2
-18.196,0.2
-1.9344000000000006,0.8
-5.8248000000000015,0.6
2.724000000000002,0.2
-14.475000000000001,0.6
56.20320000000001,0.0
8.0352,0.0
4.172000000000001,0.0
6.203099999999999,0.0
62.807499999999976,0.2
-48.9549,0.2
33.215599999999995,0.0
6.796599999999998,0.0
2.9568,0.0
13.857199999999999,0.2
6.632999999999998,0.0
8.278199999999998,0.2
3.1104000000000003,0.0
6.2208000000000006,0.0
16.535399999999996,0.0
16.1504,0.0
-3.7880000000000003,0.7
40.5426,0.0
17.9592,0.2
22.585199999999993,0.0
22.618399999999994,0.2
-10.79730000000001,0.2
-3.0396,0.8
11.7208,0.0
-26.875800000000012,0.2
-3.8385000000000105,0.2
-25.8174,0.7
17.6016,0.2
2.0993999999999993,0.2
1.0737999999999999,0.2
67.99199999999996,0.2
10.909600000000001,0.0
22.78799999999999,0.0
13.3476,0.0
14.534799999999997,0.2
1.6519999999999997,0.2
7.492499999999999,0.2
44.0316,0.2
165.38129999999995,0.0
-115.7156,0.7
18.345599999999997,0.0
13.878,0.0
63.436800000000005,0.0
51.75899999999999,0.0
19.731599999999997,0.0
-8.579400000000078,0.3
-407.68200000000013,0.5
-1.8308,0.7
30.49899999999998,0.2
-9.160199999999996,0.2
26.241599999999977,0.0
-11.993999999999993,0.4
29.363999999999997,0.2
6.973199999999998,0.2
9.6192,0.0
16.656799999999997,0.0
3.4559999999999995,0.0
1.9697999999999998,0.0
26.661599999999996,0.2
18.446400000000004,0.0
20.697599999999998,0.0
10.349999999999994,0.2
2.3814,0.0
5.1042000000000005,0.0
68.976,0.0
218.25179999999997,0.0
20.157899999999998,0.0
12.90959999999999,0.2
103.80150000000003,0.0
5.9987999999999815,0.0
585.5519999999999,0.0
80.6285,0.0
17.76599999999999,0.2
15.23879999999999,0.2
26.270999999999994,0.0
48.539199999999994,0.0
21.028799999999997,0.0
1.7901,0.0
51.47639999999994,0.2
6.8713999999999995,0.0
236.23250000000002,0.0
2.691,0.0
1.359599999999995,0.2
13.347999999999997,0.0
9.687999999999999,0.2
2.7324,0.2
-1359.992000000002,0.4
-58.634699999999995,0.2
-24.858000000000175,0.3
6.813599999999997,0.2
-453.84900000000005,0.8
8.998500000000007,0.2
9.841800000000001,0.0
53.260799999999996,0.0
21.259,0.2
-131.12000000000003,0.8
6.551999999999999,0.2
-243.16000000000008,0.8
-11.337199999999939,0.3
-3.771500000000001,0.2
1.4104,0.0
1.8612000000000002,0.2
76.63949999999998,0.2
131.02960000000002,0.0
41.986000000000004,0.0
7.25,0.0
3.4368,0.0
22.98400000000001,0.0
3.7224000000000004,0.2
6.254999999999996,0.2
112.39199999999991,0.2
20.092800000000004,0.0
24.883200000000002,0.0
